Parameter,No interaction,With interaction,Absolute Increase,Percentage Increase
Age Diff,0.0089,0.0338,0.025,281.4
Mean Age,0.0048,0.0088,0.004,82.3
Temp,0.0041,0.181,0.1769,4356.9
