edge,correlation,p_value
0,0.34095275547701803,0.12046766937636762
1,-0.13544353913351728,0.5478509147650836
2,0.11745531395375554,0.6026704633622697
3,-0.05691222194813031,0.8013784142972226
4,0.37296273454008905,0.08734869443234548
5,0.34837253052739053,0.1120895354889307
6,-0.30725645849158933,0.1642389291590981
7,0.2460955452725496,0.26959318029342455
8,0.08421763218137829,0.709430588660601
9,0.12749496860002765,0.5717925718614278
10,-0.26462506464680063,0.23400237262552276
11,0.174013887373359,0.4386401716577703
12,0.06508284714505971,0.7735368670703688
13,-0.14368352679563967,0.52352573987996
14,0.037672832928911354,0.8678064795694982
15,-0.031437691833036664,0.889543124329625
16,-0.05767458125087811,0.7987702390042757
17,-0.008072183123150155,0.9715596623561229
18,0.11621284989172426,0.6065393919115041
19,-0.02161726624300382,0.9239287039467694
20,-0.4829909328619277,0.02278930298698495
21,0.11900837585481192,0.5978488411496198
22,-0.18506843683393143,0.4096347250501644
23,-0.33238795180899333,0.13069018365636267
24,0.21645567394650803,0.3332741026864103
25,0.3643138638759012,0.09553585081197899
26,0.11611182762476899,0.6068544165720657
27,-0.06524480188940847,0.772987592408354
28,-0.36956905329238793,0.09049647686062225
29,0.02847834375000438,0.8998876920794099
30,0.2733505186841067,0.21836146460982264
31,-0.2420635298591725,0.2777678296089285
32,0.1542213505558756,0.49318270969571737
33,0.07839550988337055,0.7287580626086085
