edge,correlation,p_value
0,-0.11504692361095319,0.6601656932961478
1,-0.033988885905098215,0.8969605877849467
2,-0.3699410950924975,0.1438586399468143
3,0.561530352516297,0.018997090654707977
4,-0.20023335285016,0.4409722540886082
5,0.10412740214423827,0.6908435653004769
6,-0.3251456131419242,0.20286168891664577
7,-0.09371996946581362,0.7205132315608817
8,0.2421767472974384,0.3490112614027931
9,0.4037320939913712,0.10802764170658595
10,-0.2623839919323198,0.30896183456268467
11,0.5877309126735607,0.013098204708870029
12,0.00479244904828782,0.9854357315314196
13,0.004416117917299543,0.9865793023132903
14,-0.3333790705025592,0.19099299018834573
15,-0.19122164931204666,0.4622183362830355
16,-0.37541496176044303,0.13756447657861298
17,0.36584021973676245,0.14870165709631378
18,0.440412705070894,0.07684663774909055
19,0.026480446187204867,0.9196439608703323
20,0.09423635038520528,0.719031803785649
21,0.3177195771734199,0.21397032558523896
22,0.051067932325256624,0.8456698789222401
23,0.5780226472931098,0.01508510222979789
24,-0.053145234428479037,0.8394672392900037
25,0.16593959873858483,0.5244445833549588
26,-0.36952195453676717,0.14434859838329028
27,0.1146046373327936,0.661398765900377
28,0.7013434358948573,0.0017058314199502177
29,-0.322111959502499,0.20735330933751095
30,0.1516666882151962,0.5611836097121998
31,0.19137688521569599,0.46184808073315564
32,0.291474247042665,0.2563308522320281
33,-0.37558789358360645,0.13736878193907162
