structure,noise_label,Mean,Std,Median,IQR,Min,Max
ER,normal,1.4899,0.5548,1.3304,0.6243,0.7832,3.1743
ER,t (df=10),1.5095,0.6297,1.3033,0.5761,0.8057,3.6867
ER,t (df=3),1.4132,0.6795,1.2153,0.618,0.4991,3.9003
RDP,normal,1.4455,0.6237,1.2576,0.6664,0.7996,3.8288
RDP,t (df=10),1.4677,0.5941,1.2901,0.5117,0.8397,3.624
RDP,t (df=3),1.3659,0.6473,1.1993,0.6439,0.5613,3.5932
SBM,normal,1.4775,0.5834,1.2448,0.5609,0.6191,3.8622
SBM,t (df=10),1.4916,0.5788,1.2647,0.5318,0.8457,3.6525
SBM,t (df=3),1.4271,0.6937,1.1938,0.7997,0.6194,3.5908
