gnar_with_neighbours,gnar_no_neighbours,arima,structure,seed,dfm
1.2602574121692889,1.395432148007049,1.6720983532531097,ER,0,0.9999257080125779
0.9712301774000061,0.9409293431887843,1.4914192464382747,ER,1,1.2011148546836419
2.4774817358344787,2.4894991443776067,2.775074235745222,ER,2,2.1123251328881905
1.6135191711683798,1.6890785271575695,2.170646898502652,ER,3,1.2187024834280755
1.277232720145637,1.320072883656693,1.229050305010769,ER,4,1.1181734546992308
1.1133845261161261,1.2199476257440782,1.648360921968879,ER,5,1.642695816463045
1.452795881077786,1.481821606831341,1.6964264513442762,ER,6,1.327252094009991
0.9276386394501303,0.9371043833917374,1.4752677559109266,ER,7,1.457636925565128
1.0392119049823652,1.1991815039057174,1.4375138457214862,ER,8,1.3669362015850763
1.8939885954056188,1.8614785149424107,2.131957641708814,ER,9,1.1626064616040583
2.1068971946832487,2.135703445436,2.264297212258187,ER,10,3.0812387906395204
1.0192728316343223,1.1443507284374281,1.4571681619347712,ER,11,1.3140493539105407
1.0116567449956604,1.0458968797615844,1.4491415267648544,ER,12,0.9295308838979222
1.1235448323845354,1.2466369392480836,1.6449442522901723,ER,13,2.729407440334668
2.4240302978653223,2.4018519827907756,2.6774486782016416,ER,14,2.1751139722999833
1.5353178740328774,1.5297739245229185,1.6739998794762103,ER,15,1.2365966704840086
1.9689600860179324,1.99959953661782,2.11965755956945,ER,16,1.2939442538758072
2.7775210528348833,2.8661789561962325,2.906753072831384,ER,17,4.02774547966051
1.1831943028510754,1.278461699760713,1.4186174551784128,ER,18,1.1919135874474118
1.2141512952025664,1.2558228947813586,1.3627710935363528,ER,19,1.193817791344046
1.1390486953118266,1.1591278381178536,1.7130597316474545,ER,20,1.005695375910614
1.8427624833457825,1.8554545682706693,1.9485244303159357,ER,21,2.490765374543931
0.8092441007770798,0.7787325970306519,1.1673239455035869,ER,22,0.9529402772500017
1.7609742490375226,1.7978629064650533,2.2945652770464657,ER,23,1.397204192549815
2.7869746934275406,2.8496605485735067,3.0510781996527143,ER,24,2.0484454278086432
1.382509954437754,1.473661963360176,1.6799764722132204,ER,25,1.2578534506029961
2.232967125100196,2.228269525770434,2.324811686759483,ER,26,1.35150928439827
1.154806496535262,1.2118406898577803,1.4425669439582953,ER,27,2.479654508533225
0.8953877764764593,0.9163625580223231,1.2403536353626605,ER,28,1.7150917045666685
3.0765310882581387,3.158318438346489,3.430735531361309,ER,29,3.9898554870949825
1.4524279744776005,1.5066261008612425,1.7976016439806128,ER,30,1.1437536477995933
1.192254547006679,1.3412468435684988,1.7275117924071983,ER,31,1.3560347801707338
1.6431915290347623,1.694165727428272,2.0571323067103346,ER,32,1.9553241363957492
1.1501640337674932,1.2730983063947978,1.6920606890563945,ER,33,1.6381579416305319
1.281769847205121,1.2936825317104097,1.5736362666475332,ER,34,1.7408041827994363
2.1202414147295388,2.1006953583766927,1.8321765401903356,ER,35,1.4879936097021937
1.3769667974573485,1.4023085367806658,1.6132445517452807,ER,36,1.2056333840296316
1.0633008274598177,1.2245447694084937,1.0287847262814,ER,37,2.052776932468041
1.325254187923298,1.3686729331316247,1.8633739627684531,ER,38,1.6729083329264558
1.1174786992692425,1.1084468244102832,1.535431801974936,ER,39,1.363642061263461
2.250947804998128,2.2742597628339216,2.3303962531382867,ER,40,2.915397041036089
0.948263015982613,1.0385559157059108,1.4030411690741131,ER,41,1.223594183384015
1.2158595679991013,1.1626758577728085,1.6438270265534718,ER,42,1.8142371530512456
0.9155937124426187,1.0195281933893965,1.4859891442382338,ER,43,1.0689579247107137
0.805155705973195,0.9675257704582859,1.5186647383984315,ER,44,1.2544484915557914
1.1447769051918981,1.1383775468429074,1.6526220787873025,ER,45,2.338713744318615
1.6948844220912813,1.795800590963926,2.3852411015202675,ER,46,2.068002290612502
2.0774367040531168,2.1038832355364727,2.4625299791539725,ER,47,1.7885898367101591
1.2171065402978953,1.2833101357541097,1.6447211015705205,ER,48,1.1131116454483092
1.1138138726749651,1.1876277661989552,1.199036611117259,ER,49,1.438478026747985
1.5746571120112431,1.5736279118978298,1.6265439044187557,SBM,0,1.1400608374058234
0.9552458068131866,0.9616002043422807,1.4537634930471626,SBM,1,1.195915878394575
2.623545745283681,2.671293522380094,2.9246124848266435,SBM,2,2.0475201588678127
1.3789965829821749,1.418491631023149,1.6771555951842134,SBM,3,1.2722659864822974
1.276388086835141,1.3737485359993682,1.6146793356516418,SBM,4,1.2384141023401938
0.9866623614424164,1.051554893630106,1.3054078971735046,SBM,5,1.4343950832171084
0.8517331724386682,0.880997526160754,1.4101577587845442,SBM,6,1.037687592653152
0.9926366204070849,1.0555345596862469,1.321167745562047,SBM,7,1.9402810622198516
1.0316119195731313,1.128433408272387,1.4737934772548575,SBM,8,1.4578944136692604
2.0920931804259935,2.113271982678653,2.466609411296349,SBM,9,1.2574533884832844
2.1774089146510476,2.226740490976392,2.74220698991917,SBM,10,2.5355049171275414
1.0420906415128086,1.1427486549846926,1.4520027932210855,SBM,11,1.2637938754585356
1.1136348801434124,1.1813734775634541,1.3810966945519045,SBM,12,1.206476083051326
1.3655807156803483,1.4512675106490276,1.7224064232317513,SBM,13,2.687962504357689
2.8152026519784017,2.8512113782637356,2.9768896337928643,SBM,14,1.8133395382161168
1.3392182571359164,1.3471184910027598,1.3593656852015565,SBM,15,1.1875608755625326
1.5004838978467603,1.5232213710441649,1.3695068727705695,SBM,16,1.2665726297540516
3.2775955463237425,3.358575544923132,3.1792811012507123,SBM,17,3.7079581515601467
1.566449689350777,1.627690251133049,1.841497596444851,SBM,18,1.9396604394867316
0.8544129477240052,0.8787614129349881,1.380284518378172,SBM,19,1.0542358718301819
1.2875149618634187,1.3206320273428438,1.5922396333117264,SBM,20,1.6227560537503423
1.8610563541354241,1.9198666702532037,2.0509940847031096,SBM,21,2.7765394450589067
1.1489104995192554,1.146630012721471,1.3886238170298921,SBM,22,1.128494472281371
1.4521623097488094,1.5245304715661887,2.019221857345978,SBM,23,1.1308105926901657
2.699980355664115,2.7214757249610515,3.083122526132775,SBM,24,1.6569140440378525
1.1686514167727768,1.2947017640889276,1.5608002819796467,SBM,25,0.9011447100049175
1.9790640420193382,1.9906750255621382,2.07782905092111,SBM,26,1.3579268239953932
1.309016897168633,1.3771498526888628,1.8641028773507367,SBM,27,2.650861934323803
0.8609478835200253,0.9586445773615833,1.2807425412662747,SBM,28,1.4983065645667035
3.1253265177388734,3.1875363054388286,3.6084442960946728,SBM,29,3.8884318975846033
1.860467431157305,1.8863493993467317,2.29538532400282,SBM,30,1.5489306328068504
1.2884330967997992,1.5065948160997464,1.3898330930333525,SBM,31,1.4975551451012266
1.7910275524334285,1.8034657263400944,2.0217683201805543,SBM,32,1.893933775794128
1.1631817336237278,1.2799149476299376,1.7084376767981142,SBM,33,1.8657128785514352
1.3051450615686226,1.209911417449057,1.5785031132801777,SBM,34,1.6911634690482897
2.089133775695501,2.120174112503419,2.161246140382703,SBM,35,1.5616488653648102
1.3665936775180578,1.4570972121464545,1.7594597406573347,SBM,36,1.0470042891115
1.1808006850293875,1.2726954645406525,1.6689002985288843,SBM,37,1.6194950995572237
1.0410913618172029,1.1273675630549327,1.475284727749123,SBM,38,2.1070717402542285
1.2176915686745526,1.2235529977522905,1.6487481235215447,SBM,39,1.561822279681921
2.168023376038112,2.224055392135743,2.3294983102765463,SBM,40,2.8724516141958887
1.1046725003692641,1.071085939314998,1.6608269165265126,SBM,41,1.2546219510602774
0.9184939009238753,0.8863362695003463,1.4255801140780375,SBM,42,0.9596603495894752
0.9339157587950452,0.9377690113160649,1.6670694188699122,SBM,43,1.2095586648108843
0.906261836076584,0.9874410326568135,1.2947206784133423,SBM,44,1.2540471441180583
1.2690687537252774,1.3088511830821024,2.0038374619372403,SBM,45,2.5884454115410667
1.5228774062972366,1.5758666975548086,2.085206536226536,SBM,46,2.1934007932187773
2.16011337058246,2.1631761929865903,2.2996470543646192,SBM,47,1.7441531346860513
0.9691265761471884,0.9784571544472811,1.4476873861542114,SBM,48,1.1283988482341152
1.1309934110445548,1.243644839666062,1.3474751562456626,SBM,49,1.307058816418462
1.3237792517770495,1.390974257586003,1.6667416976478093,RDP,0,0.8046047354750954
1.1214625740855397,1.2133878795252908,1.5676733802191305,RDP,1,1.2400232994918385
2.5943919164034397,2.6280696123445915,2.9247151012181125,RDP,2,2.087833735645946
1.6038782887822545,1.6611377096323523,1.8204684120034886,RDP,3,1.27283982002627
1.0810685753350218,1.195323158335727,1.3547749024010964,RDP,4,1.145833047980327
1.0990169929461095,1.1463292552403601,1.6338076874431133,RDP,5,1.7749805734465347
1.1586258165100995,1.16274680994088,1.9812071967961358,RDP,6,1.4270441271769796
0.9194746353569552,0.989461572768476,1.4645452618541155,RDP,7,1.4779368149787402
0.818553849834681,0.80257720529004,1.030738528259741,RDP,8,0.8413039169329902
2.028817394299943,1.9971383109046004,2.381402851791663,RDP,9,1.8310991913670536
2.0315048203801997,2.089041390804405,2.4718105325127055,RDP,10,2.6268206683771784
0.9902714513471462,1.0860637259868757,1.7267367886377496,RDP,11,1.081086309063181
0.9044591810892875,1.0168458408166128,1.2439081847010733,RDP,12,1.040896900032926
1.3436363772293387,1.3713243959324628,1.4906515459539063,RDP,13,2.5885659527713134
2.2560650202214276,2.2610481738849963,2.3308588802014865,RDP,14,1.6687096515064388
1.5294485918867682,1.4218298085066476,1.4663164161933293,RDP,15,0.9632083024022999
1.9794806522260537,2.043317148551405,2.139134340354974,RDP,16,1.4766277466148552
2.6840798227208005,2.8423570342764704,2.345842394313257,RDP,17,3.391952421053675
1.5533177462673409,1.5630883973246932,1.8306746773133196,RDP,18,1.838632546195209
0.9000772914551058,0.980503712528009,1.3429589613073825,RDP,19,0.9386340932421933
0.8640578156943488,0.9058685373193021,1.4651763078794828,RDP,20,1.490853166136462
